material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-8280,Ba(MgAs)2,0.0,-0.928578429000002,True,4.104683997499582,135.8389929674064,5,1.0689000000000002,False,False,Mg,BaAs2,1,0.025833838,2.2460696697235107,True,False
mp-29209,Ba(MgBi)2,0.0,-0.5920732000000012,True,5.791868250655446,173.13858795412915,5,0.3967999999999998,False,False,Mg,BaBi2,1,0.43188673,1.4671647548675537,True,False
mp-7876,Ba(MgGe)2,0.0,-0.45907881600000133,True,4.43325977027081,124.06193124046918,5,0.0,True,False,Mg,BaGe2,1,0.03317346,3.520343542098999,True,False
mp-20452,Ba(MgPb)2,0.0,-0.36364582900000036,True,6.531705970165512,305.24431062011354,10,0.0,True,False,Mg,BaPb2,1,0.33794454,3.1016597747802734,True,False
mp-9567,Ba(MgSb)2,0.0,-0.8334507839999983,True,4.358063467213182,163.63463549492457,5,0.8466,False,False,Mg,BaSb2,1,0.18833858,1.4615867137908936,True,False
mp-7875,Ba(MgSi)2,0.0,-0.29522308200000114,True,3.3593622137796775,119.67444035924677,5,0.0,True,False,Mg,BaSi2,1,0.11198874,3.4383411407470703,True,False
mp-29622,Ba(MgSn)2,0.0,-0.47191740049999675,True,4.7703955138274265,589.4696459134695,20,0.0,True,False,Mg,BaSn2,1,0.052787535,3.402956247329712,True,False
mp-752573,Ba(NaSi2)2,0.01449471335591257,-0.11960239467980317,False,2.6425821144736297,743.1155251662171,28,1.0116999999999998,False,True,Na,BaSi4,1,0.09239346,2.2675650119781494,True,False
mp-7427,Ba(ZnAs)2,0.0,-0.6732129104999999,True,5.942561365880504,467.19634427852776,20,0.2974000000000001,False,False,Zn,BaAs2,1,0.038240954,2.980367660522461,True,False
mp-570198,Ba(ZnAs)2,0.029277097499999627,-0.6439358130000002,False,6.039953968559282,114.9157328119684,5,0.0,True,False,Zn,BaAs2,1,0.038240954,3.3356969356536865,True,False
mp-1070267,Ba(ZnSi)2,0.0,-0.2691671440000022,True,5.235217308247005,102.86858347360307,5,0.0,True,False,Zn,BaSi2,1,0.19237882,3.889307975769043,True,False
mp-1229139,Ba10Ca5Cu10Hg5O31,0.028136469781411932,-1.9993834502868857,False,6.439178803538515,956.234390615128,61,0.0,True,True,Ca,Ba10Cu10Hg5O31,1,3.0065744,0.08598875254392624,True,False
mp-1228878,Ba10CaY4(Cu3O7)5,0.03389210805127174,-2.1369666230000006,False,6.126938183880536,889.5344134888668,65,0.0,True,True,Ca,Ba10Y4(Cu3O7)5,1,1.9710814,0.08598875254392624,True,False
