material_id	formula_pretty	energy_above_hull	formation_energy_per_atom	is_stable	density	volume	nsites	band_gap	is_metal	theoretical	working_ion	framework_formula	n_possible_working_ions	pred_average_voltage	pred_max_delta_volume	volume_prediction_valid	pareto
mp-752573	Ba(NaSi2)2	0.014494713	-0.119602395	False	2.642582114	743.1155252	28	1.0117	False	True	Na	BaSi4	1	0.09239346	2.267565012	True	False
mp-7427	Ba(ZnAs)2	0	-0.67321291	True	5.942561366	467.1963443	20	0.2974	False	False	Zn	BaAs2	1	0.038240954	2.980367661	True	False
mp-570198	Ba(ZnAs)2	0.029277097	-0.643935813	False	6.039953969	114.9157328	5	0	True	False	Zn	BaAs2	1	0.038240954	3.335696936	True	False
mp-1070267	Ba(ZnSi)2	0	-0.269167144	True	5.235217308	102.8685835	5	0	True	False	Zn	BaSi2	1	0.19237882	3.889307976	True	False
mp-1229139	Ba10Ca5Cu10Hg5O31	0.02813647	-1.99938345	False	6.439178804	956.2343906	61	0	True	True	Ca	Ba10Cu10Hg5O31	1	3.0065744	0.085988753	True	False
mp-1228878	Ba10CaY4(Cu3O7)5	0.033892108	-2.136966623	False	6.126938184	889.5344135	65	0	True	True	Ca	Ba10Y4(Cu3O7)5	1	1.9710814	0.085988753	True	False
mp-774832	Ba10Li2Bi4O21	0	-2.368056012	True	6.363113525	1335.641979	74	0	True	True	Li	Ba10Bi4O21	1	1.8414819	0.085988753	True	False
mp-1229016	Ba10Zn4Cu(WO6)5	0.013276601	-2.607296228	False	7.328233865	701.9074954	50	0	True	True	Zn	Ba10Cu(WO6)5	1	0.38132837	0.085988753	True	False
mp-1229266	Ba12SrCa3(Ru2O9)4	0.001692528	-2.464631972	False	5.737474784	937.8118738	60	0	True	True	Ca	Ba12Sr(Ru2O9)4	1	1.8127837	0.085988753	True	False
mp-555356	Ba13Dy8Zn4Pt4O37	0	-2.834709029	True	7.575115014	1034.494828	66	2.2975	False	False	Zn	Ba13Dy8Pt4O37	1	0.68546844	0.085988753	True	False
mp-645700	Ba14Na11Li5N6	0.04642317	-0.246732075	False	2.656848805	1433.88906	36	0	True	False	Li	Ba14Na11N6	2	0.10240211	0.094959676	True	False
mp-1228674	Ba2AlZnF9	0.004847044	-3.742008926	False	4.68526982	762.7480573	52	5.6548	False	True	Zn	Ba2AlF9	1	1.8062345	0.085988753	True	False
mp-8271	Ba2Ca(BO2)6	0	-3.113965851	True	3.45331109	274.8518248	21	5.0129	False	False	Ca	Ba(BO2)3	1	1.2609217	0.085988753	True	False
mp-17380	Ba2Ca(PdO2)3	0	-2.01902311	True	6.162650554	393.3937995	24	1.4866	False	False	Ca	Ba2(PdO2)3	1	2.2464893	0.085988753	True	False
mp-683427	Ba2Ca(PdO2)3	0.017086949	-2.001936162	False	6.162650554	393.3937995	24	1.1995	False	True	Ca	Ba2(PdO2)3	1	2.2464893	0.085988753	True	False
mp-22601	Ba2Ca2Cu3HgO8	0.0176473	-2.041820948	False	5.894777211	246.2122357	16	0	True	False	Ca	Ba2Cu3HgO8	1	2.986188	0.085988753	True	False
mp-653154	Ba2Ca2Tl2Cu3O10	0.01706809	-1.927288875	False	6.580189589	281.1753197	19	0	True	True	Ca	Ba2Tl2Cu3O10	1	3.411969	0.085988753	True	False
mp-1228620	Ba2Ca2Tl2Cu3O10	0.006452679	-1.937904285	False	6.662240223	277.7124284	19	0	True	True	Ca	Ba2Tl2Cu3O10	1	3.411969	0.085988753	True	False
